Tm,Cm,Sm,hop,latency,label
2116,3,0.26,5,2125.9679818741674,0
2052,2,0.25,1,2063.8703580575416,0
1809,2,0.24,4,1818.7446684449965,0
1741,2,0.23,6,1755.5782092864533,0
1666,2,0.22,5,1681.7760716809894,0
1654,2,0.21,1,1660.2861764936324,0
1332,1,0.18,6,2273.4984152823013,0
2238,3,0.31,2,2251.374656884912,0
2231,3,0.3,3,2242.664397180505,0
2208,2,0.29,5,2223.245551620109,0
1921,1,0.27,7,2357.195564700925,0
1548,1,0.19,3,2422.426121859062,0
2404,2,0.3,4,2411.794571952014,0
1459,1,0.16,3,3478.629769403729,0
1274,1,0.18,6,2364.025647741023,0
2333,1,0.31,1,2379.2459565271797,0
2274,3,0.3,1,2281.198327646123,0
968,1,0.12,2,3089.0600946645195,0
2363,1,0.3,4,2537.8903498403934,0
2282,3,0.3,3,2294.1300732818086,0
760,1,0.15,2,2320.8749612657853,0
2305,3,0.31,4,2312.9433413452125,0
2244,2,0.3,4,2258.878572479051,0
2183,2,0.29,1,2194.1258681776685,0
2170,3,0.28,4,2177.319493681914,0
2104,3,0.27,1,2111.8668478779005,0
1363,1,0.19,2,2486.5442541694147,0
2448,2,0.3,6,2457.90951212159,0
2351,3,0.29,6,2365.0902309735516,0
2161,2,0.28,2,2170.081828406526,0
2163,2,0.27,4,2170.9471459596634,0
2089,2,0.26,6,2100.0419960249183,0
2075,3,0.25,7,2089.8264235537717,0
1990,3,0.24,3,2005.277868914986,0
1980,3,0.23,7,1995.9439210435085,0
3048,1,0.3,6,3162.3832124301225,0
2280,1,0.3,1,2413.7757944211044,0
2380,2,0.3,3,2385.1526717165493,0
2348,3,0.29,5,2357.643216176249,0
2193,2,0.28,1,2202.351951253406,0
2128,2,0.27,2,2135.0469277944003,0
1452,1,0.22,6,2531.912926262278,0
2249,1,0.26,6,2850.358658646141,0
2402,2,0.31,4,2420.2240354798387,0
2300,2,0.3,6,2311.742923035648,0
2212,1,0.27,5,2691.791407287016,0
2524,3,0.31,5,2534.4012274405577,0
1384,1,0.16,4,2730.6367700957626,0
3345,1,0.3,2,3563.681832941528,0
3518,3,0.3,5,3529.8549569755855,0
3474,3,0.29,4,3492.308303667479,0
3407,3,0.28,5,3423.6239128772017,0
1214,1,0.25,2,1959.5791265179391,0
1869,2,0.31,1,1874.1118021170892,0
4,1,0.01,1,3370.618948533559,0
3149,1,0.31,5,3276.679369890306,0
3256,3,0.31,5,3267.855741083753,0
2453,1,0.3,7,2525.675887953738,0
2317,3,0.31,7,2339.063141172869,0
2304,3,0.3,2,2321.2239020947277,0
119,1,0.04,2,3321.6772390567726,0
1600,1,0.22,2,2756.7945465784924,0
3054,1,0.3,5,3105.91616385571,0
2983,3,0.31,4,2993.8670588907344,0
2273,1,0.29,7,2563.745838798676,0
2390,2,0.31,6,2404.1029068791618,0
2344,3,0.3,2,2354.5005504372057,0
1682,1,0.16,4,3681.2676056034898,0
3645,2,0.32,3,3656.8890116827342,0
3594,3,0.31,7,3609.6370995205393,0
3539,3,0.3,1,3551.8869857721725,0
3187,3,0.29,2,3193.9103603814906,0
2240,1,0.29,5,2429.873760720513,0
2573,1,0.3,7,2752.656944856186,0
2357,1,0.33,7,2378.1713063740453,0
3245,1,0.32,1,3348.2516885617833,0
3343,3,0.32,3,3349.068553060357,0
3307,3,0.31,4,3315.055384610003,0
3225,3,0.3,1,3230.373971429355,0
0,1,0.01,2,3375.777388487948,0
2738,1,0.32,7,2780.75476500295,0
2764,2,0.31,4,2776.046839809692,0
2657,3,0.3,4,2667.1212580467563,0
2551,3,0.29,6,2563.257171465434,0
2476,2,0.28,5,2494.9147969279693,0
0,1,0.01,1,3609.3461531926378,0
3519,3,0.33,6,3528.3786734037285,0
3441,2,0.32,4,3452.385815225992,0
2246,1,0.29,3,2726.4114045893266,0
2703,2,0.32,5,2711.698897926077,0
2699,2,0.31,2,2706.4504343128965,0
2564,2,0.3,3,2569.2412664543217,0
2337,2,0.29,1,2341.5254782179354,0
2331,3,0.28,2,2336.597671003684,0
